"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.23170484532642,0.799,0.384,0,"1","Sfta3-ps"
0,1.26518018230243,0.817,0.405,0,"1","Nkx2-1"
0,2.66279055716966,0.551,0.153,0,"1","Lef1"
0,0.726876839399481,0.828,0.464,0,"1","Cacna2d1"
0,1.61807690593063,0.614,0.26,0,"1","Gm38505"
0,1.65082493496321,0.708,0.357,0,"1","Peg10"
0,1.35231625553411,0.676,0.338,0,"1","Crb1"
0,1.3331554505256,0.628,0.29,0,"1","Insm1"
0,2.9385774850416,0.39,0.057,0,"1","Bsx"
0,1.03106162459763,0.611,0.278,0,"1","Nkx2-4"
0,0.934856163013795,0.843,0.521,0,"1","Hap1"
0,1.24104028816184,0.683,0.365,0,"1","Isl1"
0,1.98809146168694,0.546,0.234,0,"1","Rbms1"
0,2.03162126943593,0.535,0.223,0,"1","Hs6st3"
0,3.19870580248574,0.368,0.076,0,"1","Nup62cl"
0,1.16672270085742,0.673,0.385,0,"1","Magel2"
0,1.42405201478384,0.481,0.197,0,"1","Gm27199"
0,1.04374861955853,0.777,0.497,0,"1","Tub"
0,2.15460772209446,0.386,0.107,0,"1","Tbx3"
0,1.22460673575105,0.691,0.413,0,"1","Tox2"
0,1.77965252060343,0.402,0.14,0,"1","Thsd4"
0,1.66080369716355,0.412,0.154,0,"1","4930483P17Rik"
0,3.01896118612209,0.38,0.123,0,"1","Cntn3"
0,1.14274046879319,0.934,0.704,0,"1","Tox"
0,1.08092871440379,0.969,0.746,0,"1","Fam155a"
0,1.20459637046333,0.97,0.758,0,"1","Sox2ot"
0,1.19029228271918,0.967,0.759,0,"1","Syt1"
0,0.832988052073234,0.934,0.731,0,"1","Zdbf2"
0,1.0268880496978,0.972,0.8,0,"1","Efna5"
0,0.928629387754041,0.891,0.738,0,"1","Lcorl"
0,0.753069887690153,0.957,0.82,0,"1","Peg3"
0,0.933423930652222,0.989,0.915,0,"1","Zbtb20"
0,0.763769675287321,0.981,0.909,0,"1","Bex2"
