"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"admisc","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.35",NA,"R (>= 3.5.0)","methods",NA,"QCA (>= 3.7)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"anndata","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.7.5.6",NA,"R (>= 3.5.0)","assertthat, Matrix, methods, R6, reticulate (>= 1.17)",NA,"stats, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"AnnotationDbi","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.66.0",NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"ape","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","5.8",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"aplot","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.2.3",NA,"R (>= 4.1.0)","ggfun (>= 0.1.3), ggplot2, ggplotify, patchwork, magrittr,
methods, utils",NA,"ggtree",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"askpass","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.0",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"assertthat","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"backports","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.5.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"base64enc","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
